tidied unfrozen.csv,tidied slow.csv,tidied snap.csv,tidied dmso.csv,tidied snap dmso.csv
5.011,3.207,1.601,2.048,4.177
3.05,3.51,5.12,2.047,2.127
1.541,4.771,1.801,2.556,7.461
3.626,2.171,7.682,1.517,3.227
1.533,3.344,4.231,3.1,2.051
2.845,5.486,3.29,1.922,3.515
2.449,3.1,4.288,7.291,2.158
2.248,2.342,4.401,5.24,1.655
1.602,2.991,4.243,1.656,1.579
7.306,3.199,3.397,2.725,4.202
2.852,6.419,3.125,4.859,1.709
4.452,3.488,1.597,1.847,1.537
7.918,2.211,1.673,3.437,10.735
2.083,2.397,1.763,3.15,3.131
7.111,2.166,1.839,1.891,3.356
3.378,3.667,2.136,1.934,1.935
3.196,3.872,2.178,2.486,3.092
5.465,3.08,2.159,2.309,4.246
1.771,1.971,9.109,2.383,8.022
12.113,1.552,3.316,2.839,6.897
3.737,1.721,2.94,2.718,1.494
3.07,3.806,2.136,1.653,5.526
3.978,7.055,2.298,3.2,6.441
5.457,2.856,1.651,1.66,3.564
2.563,1.669,5.041,2.668,2.28
1.484,2.067,2.671,2.014,2.026
2.088,2.647,2.051,5.179,7.757
1.492,4.378,6.767,1.514,1.48
3.462,1.869,4.753,3.473,1.932
1.509,2.566,5.847,2.311,2.75
3.252,1.608,3.799,5.884,2.935
12.867,2.98,3.533,5.202,3.8
7.262,2.433,2.162,2.119,4.885
3.361,1.838,3.277,2.385,2.99
8.057,1.887,1.935,2.589,4.615
7.845,6.706,1.781,2.612,2.456
1.529,2.663,4.609,6.781,7.052
1.885,2.555,1.71,5.695,2.366
2.052,6.409,5.749,2.734,1.717
1.77,4.826,4.89,3.979,1.854
1.996,1.837,1.797,2.148,4.956
1.708,4.043,7.937,1.973,2.739
3.033,1.678,2.964,1.894,1.483
18.394,5.002,1.729,1.869,1.647
2.116,2.309,2.303,2.056,3.207
1.754,1.696,1.772,4.109,1.602
3.426,3.711,2.496,3.192,2.061
8.016,4.081,1.757,2.448,2.125
6.674,2.766,1.983,2.191,1.503
1.756,8.084,1.586,2.917,2.546
1.628,1.466,3.313,1.472,2.079
1.46,3.978,4.71,4.686,1.839
1.48,1.535,1.488,5.609,1.775
10.091,8.099,2.017,1.997,4.332
10.68,1.662,1.944,2.611,1.803
10.229,1.464,2.558,2.797,4.501
3.439,1.553,1.586,2.166,1.852
9.674,3.423,4.176,4.973,2.203
8.687,1.938,1.57,1.728,2.834
2.887,1.525,3.625,2.254,1.472
3.765,2.484,1.759,2.459,1.51
5.271,1.478,3.797,2.197,6.867
1.838,,5.086,4.631,1.537
3.097,,2.325,1.519,1.768
10.441,,1.878,3.475,1.484
,,2.959,6.342,1.533
,,1.607,4.025,1.559
,,2.569,3.97,5.761
,,3.097,1.848,2.069
,,1.561,1.495,6.254
,,3.847,3.035,1.901
,,1.656,5.798,1.581
,,1.974,4.941,4.729
,,,2.828,2.17
,,,2.648,2.49
,,,3.008,4.901
,,,1.819,2.978
,,,6.207,1.52
,,,2.243,6.656
,,,4.471,2.516
,,,2.352,5.225
,,,1.66,1.575
,,,2.228,8.012
,,,1.984,2.368
,,,,2.144
,,,,4.526
